item_number,mcat,tier,model,gvwr,floor_type,bed_length,width,tongue,stack_height,total_footprint,updated_at,matched_weight_lbs,weight_match_found
25PH-25,"DECK-OVER, TAG-ALONG",3,25PH,25900,Wood,25,8.0,6,2.5,31,2026-05-12T14:11:41Z,6200,Y
25PH-25+5,"DECK-OVER, TAG-ALONG",,25PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,6300,Y
25PH-25BK+5,"DECK-OVER, TAG-ALONG",,25PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,6300,Y
25PH-25BK+5MR,"DECK-OVER, TAG-ALONG",,25PH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,6300,Y
3XPH-20+5,"DECK-OVER, TAG-ALONG",,3XPH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,5800,Y
3XPH-25+5,"DECK-OVER, TAG-ALONG",,3XPH,,,30,,6,2.5,36,2026-05-12T14:11:41Z,7189.5,Y
4XPH-20,"DECK-OVER, TAG-ALONG",3,4XPH,48000,Wood,20,8.0,6,2.5,26,2026-05-12T14:11:41Z,8450,Y
4XPH-20+5,"DECK-OVER, TAG-ALONG",,4XPH,,,25,,6,2.5,31,2026-05-12T14:11:41Z,8950,Y
4XPH-24+5,"DECK-OVER, TAG-ALONG",,4XPH,,,29,,6,2.5,35,2026-05-12T14:11:41Z,10150,Y
5XPH-28+5,"DECK-OVER, TAG-ALONG",,5XPH,,,33,,6,2.5,39,2026-05-12T14:11:41Z,10850,Y
10LX-12,DUMP,4,10LX,9990,Steel,12,7.0,4,4,16,2026-05-12T14:11:41Z,,N
10LX-12BK6SIR,DUMP,4,10LX,9990,Steel,12,7.0,4,4,16,2026-05-12T14:11:41Z,,N
13BN,DUMP,,13BN,,,14,,0,3,14,2026-05-12T14:11:41Z,2280,Y
14GT-14,DUMP,3,14GT,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4650,Y
14GT-14BK6-P4,DUMP,3,14GT,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,5240,Y
14GT-14BK6SIR,DUMP,2,14GT,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4650,Y
14GT-16,DUMP,3,14GT,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5110,Y
14GT-16BK6-P4,DUMP,3,14GT,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5890,Y
14GT-16BK6SIR,DUMP,3,14GT,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5110,Y
14GX-14,DUMP,3,14GX,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4640,Y
14GX-14BK6-P4,DUMP,3,14GX,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,5390,Y
14GX-14BK6SIRPD,DUMP,1,14GX,15900,Steel,14,7.0,9,5,23,2026-05-12T14:11:41Z,4805,Y
14GX-16,DUMP,3,14GX,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5000,Y
14GX-16BK6-P4,DUMP,2,14GX,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5780,Y
14GX-16BK6SIRPD,DUMP,1,14GX,15900,Steel,16,7.0,9,5,25,2026-05-12T14:11:41Z,5165,Y
14LP-12,DUMP,3,14LP,14000,Steel,12,7.0,4,4,16,2026-05-12T14:11:41Z,3870,Y
14LP-12BK6-P4,DUMP,3,14LP,14000,Steel,12,7.0,4,5,16,2026-05-12T14:11:41Z,4520,Y
14LP-12BK6SIRPD,DUMP,1,14LP,14000,Steel,12,7.0,4,4,16,2026-05-12T14:11:41Z,4035,Y
14LP-14,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4180,Y
14LP-14BK6-12KHJ,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14BK6-12KHJ-P4,DUMP,4,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14BK6-P4,DUMP,1,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14BK6SIRPD,DUMP,1,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14BL6-P4,DUMP,3,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14BL6SIRPD,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14DT6-P4,DUMP,3,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14DT6SIRPD,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14GY6-P4,DUMP,3,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14GY6SIRPD,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14SG6-P4,DUMP,3,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14SG6SIRPD,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
14LP-14WH6-P4,DUMP,3,14LP,14000,Steel,14,7.0,4,5,18,2026-05-12T14:11:41Z,4930,Y
14LP-14WH6SIRPD,DUMP,3,14LP,14000,Steel,14,7.0,4,4,18,2026-05-12T14:11:41Z,4345,Y
