origin_plant,destination_state,rate_per_mile,effective_year,notes,created_at
NV,AL,2.25,2026,,2026-01-22T21:38:33
NV,AR,2.0,2026,,2026-01-22T21:38:34
NV,AZ,3.1,2026,,2026-01-22T21:38:34
NV,CA,3.2,2026,,2026-01-22T21:38:34
NV,CO,2.9,2026,,2026-01-22T21:38:35
NV,CT,1.97,2026,,2026-01-22T21:38:35
NV,DC,1.97,2026,,2026-01-22T21:38:36
NV,DE,1.93,2026,,2026-01-22T21:38:36
NV,DETENTION,0.0,2026,,2026-01-22T21:38:51
NV,FL,1.95,2026,,2026-01-22T21:38:36
NV,GA,2.25,2026,,2026-01-22T21:38:36
NV,IA,2.5,2026,,2026-01-22T21:38:36
NV,ID,4.0,2026,,2026-01-22T21:38:36
NV,IL,1.95,2026,,2026-01-22T21:38:37
NV,IN,1.8,2026,,2026-01-22T21:38:37
NV,KS,2.08,2026,,2026-01-22T21:38:37
NV,KY,1.88,2026,,2026-01-22T21:38:38
NV,LA,1.76,2026,,2026-01-22T21:38:38
NV,MA,1.98,2026,,2026-01-22T21:38:38
NV,MD,1.93,2026,,2026-01-22T21:38:38
NV,ME,1.88,2026,,2026-01-22T21:38:38
NV,MI,1.99,2026,,2026-01-22T21:38:39
NV,MIN,1000.0,2026,,2026-01-22T21:38:51
NV,MN,2.24,2026,,2026-01-22T21:38:39
NV,MO,2.06,2026,,2026-01-22T21:38:39
NV,MS,1.73,2026,,2026-01-22T21:38:40
NV,MT,3.19,2026,,2026-01-22T21:38:40
NV,NC,1.9,2026,,2026-01-22T21:38:40
NV,ND,2.5,2026,,2026-01-22T21:38:40
NV,NE,2.06,2026,,2026-01-22T21:38:41
NV,NH,1.95,2026,,2026-01-22T21:38:41
NV,NJ,2.0,2026,,2026-01-22T21:38:41
NV,NM,2.6,2026,,2026-01-22T21:38:42
NV,NV,2.95,2026,,2026-01-22T21:38:42
NV,NY,2.19,2026,,2026-01-22T21:38:42
NV,NY ZIP 100,450.0,2026,,2026-01-22T21:38:51
NV,OH,2.04,2026,,2026-01-22T21:38:42
NV,OK,1.81,2026,,2026-01-22T21:38:43
NV,OR,3.48,2026,,2026-01-22T21:38:43
NV,PA,2.05,2026,,2026-01-22T21:38:43
NV,RI,2.05,2026,,2026-01-22T21:38:44
NV,SC,1.9,2026,,2026-01-22T21:38:45
NV,SD,2.26,2026,,2026-01-22T21:38:47
NV,STOP,55.0,2026,,2026-01-22T21:38:51
NV,TN,1.81,2026,,2026-01-22T21:38:47
NV,TONU,350.0,2026,,2026-01-22T21:38:51
NV,TX,2.0,2026,,2026-01-22T21:38:48
NV,UT,2.8,2026,,2026-01-22T21:38:48
NV,VA,1.95,2026,,2026-01-22T21:38:48
NV,VT,1.95,2026,,2026-01-22T21:38:48
NV,WA,3.03,2026,,2026-01-22T21:38:49
NV,WI,1.95,2026,,2026-01-22T21:38:50
NV,WV,1.95,2026,,2026-01-22T21:38:50
NV,WY,3.4,2026,,2026-01-22T21:38:51
OR,AL,1.89,2026,,2026-01-22T21:38:33
OR,AR,1.85,2026,,2026-01-22T21:38:34
OR,AZ,2.28,2026,,2026-01-22T21:38:34
OR,CA,2.75,2026,,2026-01-22T21:38:34
OR,CO,2.62,2026,,2026-01-22T21:38:35
OR,CT,1.8,2026,,2026-01-22T21:38:35
OR,DC,1.83,2026,,2026-01-22T21:38:35
OR,DE,1.96,2026,,2026-01-22T21:38:36
OR,DETENTION,0.0,2026,,2026-01-22T21:38:51
OR,FL,1.96,2026,,2026-01-22T21:38:36
OR,GA,1.91,2026,,2026-01-22T21:38:36
OR,IA,2.12,2026,,2026-01-22T21:38:36
OR,ID,3.35,2026,,2026-01-22T21:38:36
OR,IL,1.96,2026,,2026-01-22T21:38:37
OR,IN,1.89,2026,,2026-01-22T21:38:37
OR,KS,2.0,2026,,2026-01-22T21:38:37
OR,KY,1.95,2026,,2026-01-22T21:38:38
OR,LA,1.9,2026,,2026-01-22T21:38:38
OR,MA,1.94,2026,,2026-01-22T21:38:38
